20221031	19:23:59	9e98c631-7df8-4b66-a676-5c3f48f69d21	Error	Not allowed by CORS	GET	/	https://www.google.com
20221121	23:21:30	19ce3931-18ff-4c76-83dc-00b433919238	ReferenceError	roles is not defined	POST	/users	undefined
20221121	23:22:34	00edccc9-c3b6-4f52-a5ac-316c8f54e73a	ReferenceError	roles is not defined	POST	/users	undefined
20221121	23:22:44	ff4d1624-522a-4abd-aec6-0e648fe92a94	ReferenceError	hash is not defined	POST	/users	undefined
20221121	23:24:12	9b9f2a30-9ab3-45e0-902d-5b0269a7fac2	ReferenceError	bcyrpt is not defined	POST	/users	undefined
20221121	23:24:28	50a17f9c-657e-43f8-acc5-9008db900c64	ReferenceError	bcyrpt is not defined	POST	/users	undefined
20221121	23:24:40	4859db3f-05af-47ea-80ab-fd9633ddee66	ValidationError	User validation failed: email: Path `email` is required.	POST	/users	undefined
20221121	23:24:59	77debaf1-e968-49e2-b5f9-45adb2ce05fd	ValidationError	User validation failed: email: Path `email` is required.	POST	/users	undefined
20221121	23:28:57	5dd1695f-01bf-4239-8312-62587705d199	ReferenceError	duplicateUserame is not defined	POST	/users	undefined
20221121	23:33:19	27cd1ccd-7b35-4a5f-8eed-f7378cc03e08	SyntaxError	Unexpected token } in JSON at position 180	POST	/users	undefined
20221121	23:35:32	1be4ad14-7905-4aa6-a10c-ffa88835fa32	SyntaxError	Unexpected string in JSON at position 134	POST	/users	undefined
20221121	23:36:34	b49675e7-6427-496c-88fb-06180cb922c6	SyntaxError	Unexpected token , in JSON at position 300	PATCH	/users	undefined
20221121	23:36:40	7d98a79f-1748-4e2f-a6d9-a698dd9f2439	SyntaxError	Unexpected token , in JSON at position 300	PATCH	/users	undefined
20221121	23:36:41	d1c97614-54dc-4f8f-a940-fc4618cc3e75	SyntaxError	Unexpected token , in JSON at position 300	PATCH	/users	undefined
20221121	23:37:25	397da42c-cf4b-45a0-8e0c-25dd702df883	SyntaxError	Unexpected token " in JSON at position 0	PATCH	/users	undefined
20221122	14:02:43	8b9ce154-5766-4f6b-b73b-9fd226d6546e	ReferenceError	Cannot access 'user' before initialization	DELETE	/users	undefined
20221122	14:04:29	5d973b8b-e342-4312-a608-657c008a5a3e	ReferenceError	Cannot access 'user' before initialization	DELETE	/users	undefined
20221122	14:04:33	50f286af-27ee-4175-8d54-c1c15b77ce25	ReferenceError	Cannot access 'user' before initialization	DELETE	/users	undefined
20221122	14:05:06	6d11d114-78d7-4ffc-9130-8c287cd3328f	SyntaxError	Unexpected token , in JSON at position 297	DELETE	/users	undefined
20221122	14:05:15	a7380557-0ffe-4f50-b789-d0c6a6645601	ReferenceError	Cannot access 'user' before initialization	DELETE	/users	undefined
20221122	14:06:58	a065fad5-432c-4cec-9df0-cab1ae9fc3c3	ReferenceError	repsonse is not defined	DELETE	/users	undefined
20221122	14:09:02	1fb21155-8a8d-4bbd-b2e3-aec5400a010f	ReferenceError	repsonse is not defined	DELETE	/users	undefined
20221122	14:15:01	7c8be5d0-e4e0-47ef-9349-31cdd19bef6b	SyntaxError	Unexpected token , in JSON at position 372	DELETE	/users	undefined
20221122	14:17:02	eb2993af-4a3f-464f-9036-62f3d5c873e0	SyntaxError	Unexpected string in JSON at position 114	POST	/users	undefined
20221129	16:20:52	1618fe9f-3e23-4301-83c0-2b192bbe430a	SyntaxError	Unexpected token } in JSON at position 187	POST	/users	undefined
20221129	16:22:04	42cf7d30-93e4-4b3c-af4c-bd3a1929ca0a	SyntaxError	Unexpected string in JSON at position 197	POST	/users	undefined
20221201	13:17:35	eba34fac-8eb8-4f00-a726-18378f7f2f74	Too Many Requests: Too many login attempts from this IP, please try again after a 60 second pause	POST	/	http://localhost:3500
20221201	13:17:36	68844e0d-c19a-4ad1-944b-94e692d91613	Too Many Requests: Too many login attempts from this IP, please try again after a 60 second pause	POST	/	http://localhost:3500
20221201	18:41:48	41137e41-47e6-4bcc-8edf-bca92b665764	TypeError	app.use is not a function	GET	/files	undefined
20221201	18:43:38	a4529639-5056-454f-97cf-e0d23158bd6a	TypeError	app.use is not a function	GET	/files	undefined
20221201	18:43:39	8aecc5ae-e2b7-44e1-b357-9fd3c8d507d9	TypeError	app.use is not a function	GET	/files	undefined
20221201	18:43:48	96029e4b-c194-45db-888a-42f3986e691e	TypeError	app.use is not a function	GET	/files	undefined
20221201	20:32:36	a0f871b3-7831-4696-9344-af3b87c8f0c4	SyntaxError	Unexpected token } in JSON at position 130	POST	/claims	undefined
20221201	20:32:40	6ccafb2e-d843-4fd5-af6a-0b866015f04a	ValidationError	Claim validation failed: user: Cast to ObjectId failed for value "Carlos1" (type string) at path "user" because of "BSONTypeError", clientName: Path `clientName` is required.	POST	/claims	undefined
20221201	20:34:20	ac47bf8b-83bc-41da-a7b4-b4e3e600bfa3	ValidationError	Claim validation failed: clientName: Path `clientName` is required.	POST	/claims	undefined
20230207	18:13:15	7c99dd7e-f6f8-4f98-88fc-90265cd90328	ReferenceError	bucketName is not defined	GET	/files	undefined
20230207	18:13:30	9a7e7c7f-608c-425d-9e83-be11abcb80df	TypeError	name.replace is not a function	GET	/files	undefined
20230207	18:13:32	ffffa72e-1bc6-4a31-b901-156f527e4d2c	TypeError	name.replace is not a function	GET	/files	undefined
20230207	18:14:00	67ff6d6e-3b09-46a4-b405-663591b94621	TypeError	name.replace is not a function	GET	/files	undefined
20230207	18:20:42	1f2851cd-7656-4373-bfb8-4dde8a0b1a00	TypeError	name.replace is not a function	GET	/files	undefined
20230207	18:20:43	7382dfdd-1b47-4ff0-b66d-8c37f9a68b78	TypeError	name.replace is not a function	GET	/files	undefined
20230207	18:21:57	0b6bce65-f36e-4902-8fa0-705742363318	TypeError	name.replace is not a function	GET	/files	undefined
20230207	18:21:58	c3914f02-2569-40fc-b2ec-57b011a87381	TypeError	name.replace is not a function	GET	/files	undefined
20230207	18:21:59	dd78ac6b-32b6-4046-bd12-21d58ff5b020	TypeError	name.replace is not a function	GET	/files	undefined
20230207	18:33:36	98abb483-1fe7-4a7b-ab64-f10a091959e7	TypeError	name.replace is not a function	GET	/files	undefined
20230207	18:33:37	bf93622a-1d27-4b01-8e9b-917bacdcf92b	TypeError	name.replace is not a function	GET	/files	undefined
20230207	18:33:47	bac23b90-4a5f-45b9-889e-c8fcba795ca2	TypeError	name.replace is not a function	GET	/files	undefined
20230207	18:36:30	b9faca9f-741c-42e4-9c93-aec1225ad88b	TypeError	name.replace is not a function	GET	/files	undefined
20230207	18:36:30	4529888f-423c-430e-bbce-48c07077388f	TypeError	name.replace is not a function	GET	/files	undefined
20230208	12:17:16	687e40f6-3ee4-4b45-80b8-1da9ce72f39a	TypeError	name.replace is not a function	GET	/files	undefined
20230208	12:17:32	e4a0d1ba-770d-4af6-8cf2-82553461639e	TypeError	name.replace is not a function	GET	/files	undefined
20230210	10:04:24	602bf8d2-6a1e-4f74-89b9-af88a0067b1f	TypeError	name.replace is not a function	GET	/files	undefined
20230213	11:29:46	d2a283da-02a2-4799-a6f7-52fa9a2828c6	TypeError	name.replace is not a function	GET	/files	undefined
20230214	16:21:56	478f8897-685c-46b8-87ae-6066c4de1623	MongooseServerSelectionError	Could not connect to any servers in your MongoDB Atlas cluster. One common reason is that you're trying to access the database from an IP that isn't whitelisted. Make sure your current IP address is on your Atlas cluster's IP whitelist: https://docs.atlas.mongodb.com/security-whitelist/	GET	/users	undefined
20230214	16:22:30	a196d4f5-158d-4af1-bd84-70cdf12d7a0d	MongooseServerSelectionError	Could not connect to any servers in your MongoDB Atlas cluster. One common reason is that you're trying to access the database from an IP that isn't whitelisted. Make sure your current IP address is on your Atlas cluster's IP whitelist: https://docs.atlas.mongodb.com/security-whitelist/	GET	/claims	undefined
20230214	16:37:34	8d2d449d-aab9-4635-bf34-de6ed7c6153b	TypeError	name.replace is not a function	GET	/files	undefined
20230214	19:42:10	4112796c-fcd2-4af0-9e0a-0902b8d502bf	TypeError	name.replace is not a function	GET	/files	undefined
20230214	19:42:10	566db0b9-3300-4468-a47a-d77a7372da07	TypeError	name.replace is not a function	GET	/files	undefined
20230214	19:42:11	5eabfe23-d618-4732-b703-5c311f80870b	TypeError	name.replace is not a function	GET	/files	undefined
20230214	19:46:51	7f00842e-708e-4c09-9793-155131ac2057	ReferenceError	downloadIntoMemory is not defined	GET	/files	undefined
20230214	20:33:25	0f5f095d-008d-468f-a044-13a252146a3a	Error	Cannot create a string longer than 0x1fffffe8 characters	GET	/files	undefined
20230214	20:36:40	27ab7f27-efb6-43b2-9d43-7b2be886294f	Error	Cannot create a string longer than 0x1fffffe8 characters	GET	/files	undefined
20230214	20:43:24	51064a21-ec52-4a8b-9349-8f31144651a2	Error	Cannot create a string longer than 0x1fffffe8 characters	GET	/files	undefined
20230214	20:46:54	27da8ddf-aa2c-4c8e-ad4d-54a89585d332	Error	Cannot create a string longer than 0x1fffffe8 characters	GET	/files	undefined
20230223	13:48:50	c93eaf67-1401-484b-ab98-f5eb6b34853f	Error	No such object: dsd-cloud-storage/dji_demo/objects/OfficeScptTest.obj	GET	/files	undefined
20230223	17:06:20	27a5078d-9101-4187-bb6c-272d549dbf47	Error	Cannot set headers after they are sent to the client	GET	/files	http://localhost:3000
20230223	17:06:21	06a8a142-1e23-4d4d-89d3-117fe021c79d	Error	Cannot set headers after they are sent to the client	GET	/files	http://localhost:3000
20230223	17:06:23	1a7f2a7f-6810-4272-8216-7fb40d41d416	Error	Cannot set headers after they are sent to the client	GET	/files	http://localhost:3000
20230223	17:06:31	22fd2ba5-b3a9-4300-ad56-02eca617542f	Error	Cannot set headers after they are sent to the client	GET	/files	http://localhost:3000
20230223	17:06:45	96116744-f5fc-427a-a978-7f78e54568bc	Error	Cannot set headers after they are sent to the client	GET	/files/	undefined
20230223	17:07:02	33d2dfd6-0548-4732-b7dd-10023bc0b494	Error	Cannot set headers after they are sent to the client	GET	/files/	undefined
20230223	17:07:08	9e6d1844-ebeb-4ee3-bd1c-50fe4b62555a	Error	Cannot set headers after they are sent to the client	GET	/files	http://localhost:3000
20230223	17:07:11	5af90d17-4d5a-4697-a8f5-56a27f96f436	Error	Cannot set headers after they are sent to the client	GET	/files	http://localhost:3000
20230223	17:23:46	5d11a237-5f4a-47fa-87db-24872573904e	Error	Cannot set headers after they are sent to the client	GET	/files	http://localhost:3000
20230223	17:23:46	854c39fe-769b-4417-8cd6-40655fc80176	Error	Cannot set headers after they are sent to the client	GET	/files	http://localhost:3000
20230223	17:23:46	e5610ddd-b87f-4c64-b987-a929bfe949ff	Error	Cannot set headers after they are sent to the client	GET	/files	http://localhost:3000
20230223	17:23:46	b0376785-9d90-4ae2-bb10-c764a821d2eb	Error	Cannot set headers after they are sent to the client	GET	/files	http://localhost:3000
20230223	17:23:46	eef8f991-88a1-4b25-a2f6-32d91386dbd2	Error	Cannot set headers after they are sent to the client	GET	/files	http://localhost:3000
20230223	17:23:46	8d9cf72d-eeba-499e-8af0-352375dadcde	Error	Cannot set headers after they are sent to the client	GET	/files	http://localhost:3000
20230223	17:23:46	a9596972-b717-4e2c-b6e3-24f0533c9d8f	Error	Cannot set headers after they are sent to the client	GET	/files	http://localhost:3000
20230223	17:23:46	b693d0e5-8ff0-42e1-b72c-d220fa0a9a69	Error	Cannot set headers after they are sent to the client	GET	/files	http://localhost:3000
20230223	17:23:46	ac3958b8-d3e7-4e4c-b5a4-c76ec6505db3	Error	Cannot set headers after they are sent to the client	GET	/files	http://localhost:3000
20230223	17:23:46	b16de39c-9b3a-4ecf-938b-5bcc12eaaefc	Error	Cannot set headers after they are sent to the client	GET	/files	http://localhost:3000
20230223	17:23:46	328b1755-206b-4c4e-a5e7-f1245feb3756	Error	Cannot set headers after they are sent to the client	GET	/files	http://localhost:3000
20230223	17:23:47	47bc3ccc-1205-4883-8870-73825e8d2e0f	Error	Cannot set headers after they are sent to the client	GET	/files	http://localhost:3000
20230223	17:23:47	ea0a1e3b-c903-4e72-baac-2d8b8415791d	Error	Cannot set headers after they are sent to the client	GET	/files	http://localhost:3000
20230223	17:23:47	8879762f-cab4-42c8-9aa0-3529c6cb663b	Error	Cannot set headers after they are sent to the client	GET	/files	http://localhost:3000
20230223	17:23:47	44470eea-c81e-436b-9906-6f1e05255968	Error	Cannot set headers after they are sent to the client	GET	/files	http://localhost:3000
20230223	17:23:47	543ef58e-c654-4929-a1d1-05db67a998c1	Error	Cannot set headers after they are sent to the client	GET	/files	http://localhost:3000
20230223	17:23:47	7b1b95f8-3faf-4e89-a6bf-757c50c13cfd	Error	Cannot set headers after they are sent to the client	GET	/files	http://localhost:3000
20230223	17:23:47	439749e4-b1cd-48ef-8ee5-51fce0c95ac9	Error	Cannot set headers after they are sent to the client	GET	/files	http://localhost:3000
20230223	17:24:03	e23ed1cd-67c7-41af-a5f5-f2824c0bf637	Error	Cannot set headers after they are sent to the client	GET	/files	http://localhost:3000
20230223	17:24:03	09c1c37c-5153-4310-b34b-e7f36ce19403	Error	Cannot set headers after they are sent to the client	GET	/files	http://localhost:3000
20230223	17:24:03	2850c376-fd14-42d5-ad52-883cd3f089d7	Error	Cannot set headers after they are sent to the client	GET	/files	http://localhost:3000
20230223	17:24:03	184adc73-3da2-4330-9fe4-d02f70081a23	Error	Cannot set headers after they are sent to the client	GET	/files	http://localhost:3000
20230223	17:24:03	12d02bf0-aa67-480d-ba1d-269087438ac0	Error	Cannot set headers after they are sent to the client	GET	/files	http://localhost:3000
20230223	17:24:03	2ae8e4e0-938e-4294-b30f-e23a22b71b3a	Error	Cannot set headers after they are sent to the client	GET	/files	http://localhost:3000
20230223	17:24:57	3d43573e-028c-4349-bfee-6b63b762debd	Error	Cannot set headers after they are sent to the client	GET	/files	undefined
20230223	17:25:38	521a3219-04fd-4127-96eb-08630e2b839d	Error	Cannot set headers after they are sent to the client	GET	/files	http://localhost:3000
20230223	17:25:38	067a04fd-c487-4d84-aedb-27991baee898	Error	Cannot set headers after they are sent to the client	GET	/files	http://localhost:3000
20230223	17:25:44	53eaa624-2f65-4d5e-8380-c7ed7476b466	Error	Cannot set headers after they are sent to the client	GET	/files	http://localhost:3000
20230223	17:26:04	ac8b63c7-bef4-4aca-bc25-125cff17026b	Error	Cannot set headers after they are sent to the client	GET	/files	http://localhost:3000
